iter	Passed	Remaining
0	5	540
1	10	490
2	14	455
3	17	415
4	21	413
5	26	411
6	30	409
7	35	402
8	39	401
9	43	393
10	48	389
11	52	386
12	57	387
13	63	388
14	68	387
15	72	382
16	77	376
17	81	371
18	86	368
19	90	362
20	94	356
21	101	358
22	106	355
23	110	351
24	115	346
25	119	340
26	123	332
27	127	327
28	131	321
29	135	315
30	139	309
31	142	303
32	146	298
33	150	291
34	154	286
35	157	280
36	161	275
37	165	270
38	169	264
39	173	259
40	177	254
41	178	246
42	182	242
43	186	237
44	191	233
45	195	229
46	199	225
47	203	220
48	207	216
49	211	211
50	215	206
51	219	202
52	223	198
53	227	193
54	229	188
55	233	183
56	237	179
57	241	175
58	245	170
59	249	166
60	253	162
61	257	157
62	261	153
63	265	149
64	269	145
65	273	141
66	277	136
67	281	132
68	285	128
69	289	123
70	292	119
71	296	115
72	300	111
73	304	106
74	307	102
75	311	98
76	315	94
77	319	90
78	323	85
79	327	81
80	331	77
81	334	73
82	338	69
83	342	65
84	346	61
85	350	57
86	354	52
87	358	48
88	362	44
89	367	40
90	371	36
91	375	32
92	380	28
93	384	24
94	388	20
95	391	16
96	395	12
97	399	8
98	402	4
99	406	0
